Record Length,4096,,Source,CH1,CH2
Sample Interval,0.0000014648439,,Second,Volt,Volt
,,,-0.00390800031,0.51200,0.00200
,,,-0.00390600031,0.52800,0.00400
,,,-0.00390400031,0.52000,0.00600
,,,-0.00390200031,0.51200,0.00600
,,,-0.00390000031,0.50400,0.00200
,,,-0.00389800000,0.51200,0.00
,,,-0.00389600000,0.52000,-0.00200
,,,-0.00389400031,0.51200,0.00600
,,,-0.00389200031,0.49600,0.00600
,,,-0.00389000031,0.51200,0.00200
,,,-0.00388800031,0.49600,0.00800
,,,-0.00388600031,0.51200,-0.00400
,,,-0.00388400031,0.49600,0.01200
,,,-0.00388200031,0.50400,0.00400
,,,-0.00388000031,0.47200,0.01000
,,,-0.00387800031,0.51200,0.00600
,,,-0.00387600031,0.47200,0.02000
,,,-0.00387400031,0.48800,0.01200
,,,-0.00387200031,0.45600,0.01000
,,,-0.00387000031,0.48800,0.00600
,,,-0.00386800031,0.46400,0.01200
,,,-0.00386600031,0.47200,0.01000
,,,-0.00386400031,0.48000,0.00400
,,,-0.00386200031,0.46400,0.01200
,,,-0.00386000031,0.47200,0.01000
,,,-0.00385800031,0.46400,0.01200
,,,-0.00385600031,0.46400,0.00800
,,,-0.00385400063,0.45600,0.00800
,,,-0.00385200031,0.45600,0.00400
,,,-0.00385000031,0.45600,0.00600
,,,-0.00384800031,0.47200,0.00400
,,,-0.00384600031,0.45600,0.00800
,,,-0.00384400031,0.46400,0.00200
,,,-0.00384200031,0.44800,0.00600
,,,-0.00384000031,0.47200,0.00
,,,-0.00383800000,0.44800,0.00600
,,,-0.00383600000,0.48800,0.00600
,,,-0.00383400031,0.44000,0.00600
,,,-0.00383200031,0.45600,0.00200
,,,-0.00383000031,0.44800,0.00800
,,,-0.00382800031,0.47200,-0.00400
,,,-0.00382600031,0.44800,0.00600
,,,-0.00382400031,0.46400,0.00200
,,,-0.00382200031,0.45600,0.00
,,,-0.00382000031,0.46400,0.00200
,,,-0.00381800031,0.46400,0.00400
,,,-0.00381600031,0.45600,0.00400
,,,-0.00381400031,0.46400,0.00600
,,,-0.00381200031,0.43200,0.01000
,,,-0.00381000031,0.45600,0.01000
,,,-0.00380800031,0.44000,0.00400
,,,-0.00380600031,0.44800,0.00400
,,,-0.00380400031,0.44000,0.00400
,,,-0.00380200031,0.44000,0.00600
,,,-0.00380000031,0.42400,0.01200
,,,-0.00379800000,0.43200,0.00
,,,-0.00379600000,0.41600,0.01400
,,,-0.00379400031,0.44000,0.00200
,,,-0.00379200031,0.42400,0.02000
,,,-0.00379000031,0.42400,0.01000
,,,-0.00378800031,0.40800,0.00400
,,,-0.00378600031,0.41600,0.00600
,,,-0.00378400031,0.41600,0.01200
,,,-0.00378200031,0.43200,0.00600
,,,-0.00378000000,0.41600,0.01400
,,,-0.00377800000,0.40800,0.01000
,,,-0.00377600000,0.40800,0.01200
,,,-0.00377400031,0.41600,0.00600
,,,-0.00377200031,0.40000,0.00200
,,,-0.00377000031,0.41600,0.00200
,,,-0.00376800031,0.40000,0.00600
,,,-0.00376600031,0.40800,0.01600
,,,-0.00376400031,0.40800,0.00800
,,,-0.00376200031,0.40000,0.00800
,,,-0.00376000031,0.40800,0.00200
,,,-0.00375800031,0.39200,0.00600
,,,-0.00375600031,0.40000,0.00
,,,-0.00375400031,0.38400,0.01000
,,,-0.00375200031,0.40000,0.00200
,,,-0.00375000031,0.39200,0.00600
,,,-0.00374800031,0.40000,-0.00200
,,,-0.00374600031,0.38400,0.01400
,,,-0.00374400031,0.37600,0.01400
,,,-0.00374200031,0.38400,0.00600
,,,-0.00374000031,0.39200,0.00400
,,,-0.00373800000,0.39200,0.01000
,,,-0.00373600000,0.38400,0.00600
,,,-0.00373400031,0.39200,0.00400
,,,-0.00373200031,0.36800,0.00600
,,,-0.00373000031,0.39200,0.00600
,,,-0.00372800031,0.37600,0.01000
,,,-0.00372600031,0.39200,0.00400
,,,-0.00372400031,0.39200,-0.00400
,,,-0.00372200031,0.39200,0.00
,,,-0.00372000000,0.37600,0.00400
,,,-0.00371800000,0.40000,-0.00200
